127.0.0.1 - - [31/May/2022:09:10:24 -0500] "GET / HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [31/May/2022:09:10:27 -0500] "GET /ProyectoFinal_LPII/login.jsp HTTP/1.1" 200 4326
0:0:0:0:0:0:0:1 - - [31/May/2022:09:10:27 -0500] "GET /ProyectoFinal_LPII/css/login.css HTTP/1.1" 200 1086
0:0:0:0:0:0:0:1 - - [31/May/2022:09:10:27 -0500] "GET /ProyectoFinal_LPII/img/llave.svg HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [31/May/2022:09:10:27 -0500] "GET /ProyectoFinal_LPII/img/usuario.svg HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [31/May/2022:09:10:27 -0500] "GET /ProyectoFinal_LPII/img/loginimg.svg HTTP/1.1" 200 271301
0:0:0:0:0:0:0:1 - - [31/May/2022:09:10:27 -0500] "GET /ProyectoFinal_LPII/img/facebook.png HTTP/1.1" 200 1291
0:0:0:0:0:0:0:1 - - [31/May/2022:09:10:27 -0500] "GET /ProyectoFinal_LPII/img/google.png HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [31/May/2022:09:10:27 -0500] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [31/May/2022:09:10:33 -0500] "POST /ProyectoFinal_LPII/ServletUsuario?tipo=INICIAR HTTP/1.1" 500 1888
0:0:0:0:0:0:0:1 - - [31/May/2022:09:11:04 -0500] "POST /ProyectoFinal_LPII/ServletUsuario?tipo=INICIAR HTTP/1.1" 500 1888
0:0:0:0:0:0:0:1 - - [31/May/2022:09:11:08 -0500] "GET /ProyectoFinal_LPII/login.jsp HTTP/1.1" 200 4326
0:0:0:0:0:0:0:1 - - [31/May/2022:09:11:08 -0500] "GET /ProyectoFinal_LPII/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:09:11:08 -0500] "GET /ProyectoFinal_LPII/img/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:09:11:08 -0500] "GET /ProyectoFinal_LPII/img/google.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:09:11:08 -0500] "GET /ProyectoFinal_LPII/login.jsp HTTP/1.1" 200 4326
0:0:0:0:0:0:0:1 - - [31/May/2022:09:11:08 -0500] "GET /ProyectoFinal_LPII/login.jsp HTTP/1.1" 200 4326
0:0:0:0:0:0:0:1 - - [31/May/2022:09:11:14 -0500] "POST /ProyectoFinal_LPII/ServletUsuario?tipo=INICIAR HTTP/1.1" 200 9294
0:0:0:0:0:0:0:1 - - [31/May/2022:09:11:14 -0500] "GET /ProyectoFinal_LPII/css/header.css HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [31/May/2022:09:11:14 -0500] "GET /ProyectoFinal_LPII/css/menu.css HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [31/May/2022:09:11:14 -0500] "GET /ProyectoFinal_LPII/img/logominis_navbar.svg HTTP/1.1" 200 46856
0:0:0:0:0:0:0:1 - - [31/May/2022:09:11:14 -0500] "GET /ProyectoFinal_LPII/img/fondoPrincipal.svg HTTP/1.1" 200 298072
