127.0.0.1 - - [18/Jun/2022:11:50:30 -0500] "GET / HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [18/Jun/2022:11:50:31 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jun/2022:11:50:31 -0500] "GET /ProyectoFinal_LPII/login.jsp HTTP/1.1" 200 4181
0:0:0:0:0:0:0:1 - - [18/Jun/2022:11:50:31 -0500] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [18/Jun/2022:11:55:00 -0500] "POST /ProyectoFinal_LPII/ServletUsuario?tipo=INICIAR HTTP/1.1" 200 9506
0:0:0:0:0:0:0:1 - - [18/Jun/2022:11:55:04 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 21304
0:0:0:0:0:0:0:1 - - [18/Jun/2022:11:55:05 -0500] "GET /ProyectoFinal_LPII/Servlet_OC_DetalleOC_JSON HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [18/Jun/2022:11:55:29 -0500] "GET /ProyectoFinal_LPII/ServletDevolucionBien?tipo=ADICIONAR&nroOC=OC-00001&codigoBien=1&descripcionDano=Laptop%20HP%2015.5%22%20de%201TB%2C8RAM&precio=25&cantidad=5&creditoAdeudado=125 HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [18/Jun/2022:11:59:20 -0500] "GET /ProyectoFinal_LPII/ServletDevolucionBien?tipo=ADICIONAR&nroOC=OC-00001&codigoBien=8&descripcionDano=Agua%20Mineral%20San%20Luis%2Cbotella%20x%205L&precio=25&cantidad=5&creditoAdeudado=125 HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:00:54 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 20910
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:00:54 -0500] "GET /ProyectoFinal_LPII/Servlet_OC_DetalleOC_JSON HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:02:31 -0500] "GET /ProyectoFinal_LPII/ServletDevolucionBien?tipo=ADICIONAR&nroOC=OC-00001&codigoBien=8&descripcionDano=Agua%20Mineral%20San%20Luis%2Cbotella%20x%205L&precio=25&cantidad=5&creditoAdeudado=125 HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:02:51 -0500] "GET /ProyectoFinal_LPII/ServletDevolucionBien?tipo=ADICIONAR&nroOC=OC-00001&codigoBien=8&descripcionDano=Agua%20Mineral%20San%20Luis%2Cbotella%20x%205L&precio=25&cantidad=2&creditoAdeudado=50 HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:12:46 -0500] "GET /ProyectoFinal_LPII/ServletBien?tipo=LISTAR HTTP/1.1" 200 22768
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:12:46 -0500] "GET /ProyectoFinal_LPII/ServletTipoBienJSON HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:13:00 -0500] "GET /ProyectoFinal_LPII/ServletOrdenCompra?tipo=LISTAR HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:13:06 -0500] "GET /ProyectoFinal_LPII/ServletProveedor?tipo=LISTAR HTTP/1.1" 200 20859
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:18:23 -0500] "GET /ProyectoFinal_LPII/ServletProveedor?tipo=LISTAR HTTP/1.1" 200 20859
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:18:26 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 21249
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:18:26 -0500] "GET /ProyectoFinal_LPII/Servlet_OC_DetalleOC_JSON HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:18:26 -0500] "GET /ProyectoFinal_LPII/ServletProveedorJSON HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:30:28 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:30:28 -0500] "GET /ProyectoFinal_LPII/login.jsp HTTP/1.1" 200 4181
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:30:34 -0500] "POST /ProyectoFinal_LPII/ServletUsuario?tipo=INICIAR HTTP/1.1" 200 8571
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:30:41 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 21249
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:30:42 -0500] "GET /ProyectoFinal_LPII/ServletProveedorJSON HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:30:42 -0500] "GET /ProyectoFinal_LPII/Servlet_OC_DetalleOC_JSON HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:31:35 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:31:35 -0500] "GET /ProyectoFinal_LPII/login.jsp HTTP/1.1" 200 4181
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:32:26 -0500] "POST /ProyectoFinal_LPII/ServletUsuario?tipo=INICIAR HTTP/1.1" 200 8571
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:32:31 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 21249
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:32:31 -0500] "GET /ProyectoFinal_LPII/ServletProveedorJSON HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:32:31 -0500] "GET /ProyectoFinal_LPII/Servlet_OC_DetalleOC_JSON HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:34:09 -0500] "GET /ProyectoFinal_LPII/ServletUsuario?tipo=INICIAR HTTP/1.1" 200 4680
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:34:18 -0500] "POST /ProyectoFinal_LPII/ServletUsuario?tipo=INICIAR HTTP/1.1" 500 6718
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:34:25 -0500] "POST /ProyectoFinal_LPII/ServletUsuario?tipo=INICIAR HTTP/1.1" 500 6718
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:35:27 -0500] "GET /ProyectoFinal_LPII/ServletUsuario?tipo=INICIAR HTTP/1.1" 200 4680
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:35:33 -0500] "POST /ProyectoFinal_LPII/ServletUsuario?tipo=INICIAR HTTP/1.1" 500 6718
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:36:21 -0500] "GET /ProyectoFinal_LPII/ServletUsuario?tipo=INICIAR HTTP/1.1" 200 4680
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:36:26 -0500] "GET /ProyectoFinal_LPII/login.jsp HTTP/1.1" 200 4181
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:36:32 -0500] "POST /ProyectoFinal_LPII/ServletUsuario?tipo=INICIAR HTTP/1.1" 200 9506
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:36:39 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 22184
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:36:40 -0500] "GET /ProyectoFinal_LPII/ServletProveedorJSON HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:36:40 -0500] "GET /ProyectoFinal_LPII/Servlet_OC_DetalleOC_JSON HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:36:59 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 22184
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:36:59 -0500] "GET /ProyectoFinal_LPII/Servlet_OC_DetalleOC_JSON HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:36:59 -0500] "GET /ProyectoFinal_LPII/ServletProveedorJSON HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:38:31 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 22207
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:38:31 -0500] "GET /ProyectoFinal_LPII/ServletProveedorJSON HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:38:31 -0500] "GET /ProyectoFinal_LPII/Servlet_OC_DetalleOC_JSON HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:47:48 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 22207
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:47:48 -0500] "GET /ProyectoFinal_LPII/Servlet_OC_DetalleOC_JSON HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:47:48 -0500] "GET /ProyectoFinal_LPII/ServletProveedorJSON HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:51:10 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 22207
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:51:10 -0500] "GET /ProyectoFinal_LPII/Servlet_OC_DetalleOC_JSON HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:51:10 -0500] "GET /ProyectoFinal_LPII/ServletProveedorJSON HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:54:07 -0500] "GET /ProyectoFinal_LPII/ServletDevolucionBien?tipo=ADICIONAR&nroOC=OC-00001&codigoBien=8&descripcionDano=Agua%20Mineral%20San%20Luis%2Cbotella%20x%205L&precio=25&cantidad=5&creditoAdeudado=125 HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:54:11 -0500] "GET /ProyectoFinal_LPII/ServletDevolucionBien?tipo=ADICIONAR&nroOC=OC-00001&codigoBien=1&descripcionDano=Laptop%20HP%2015.5%22%20de%201TB%2C8RAM&precio=25&cantidad=5&creditoAdeudado=125 HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:58:13 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 22331
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:58:13 -0500] "GET /ProyectoFinal_LPII/ServletProveedorJSON HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:58:13 -0500] "GET /ProyectoFinal_LPII/Servlet_OC_DetalleOC_JSON HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:58:23 -0500] "GET /ProyectoFinal_LPII/ServletDevolucionBien?tipo=ADICIONAR&nroOC=OC-00001&codigoBien=1&descripcionDano=Laptop%20HP%2015.5%22%20de%201TB%2C8RAM&precio=25&cantidad=2&creditoAdeudado=50 HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:58:45 -0500] "GET /ProyectoFinal_LPII/ServletDevolucionBien?tipo=ADICIONAR&nroOC=OC-00001&codigoBien=8&descripcionDano=Agua%20Mineral%20San%20Luis%2Cbotella%20x%205L&precio=25&cantidad=2&creditoAdeudado=50 HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:58:48 -0500] "GET /ProyectoFinal_LPII/ServletDevolucionBien?tipo=ADICIONAR&nroOC=OC-00001&codigoBien=1&descripcionDano=Laptop%20HP%2015.5%22%20de%201TB%2C8RAM&precio=25&cantidad=2&creditoAdeudado=50 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:58:53 -0500] "GET /ProyectoFinal_LPII/ServletDevolucionBien?tipo=ADICIONAR&nroOC=OC-00001&codigoBien=8&descripcionDano=Agua%20Mineral%20San%20Luis%2Cbotella%20x%205L&precio=25&cantidad=3&creditoAdeudado=75 HTTP/1.1" 200 1211
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:59:07 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 22338
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:59:07 -0500] "GET /ProyectoFinal_LPII/ServletProveedorJSON HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:59:07 -0500] "GET /ProyectoFinal_LPII/Servlet_OC_DetalleOC_JSON HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:59:13 -0500] "GET /ProyectoFinal_LPII/ServletDevolucionBien?tipo=ADICIONAR&nroOC=OC-00001&codigoBien=1&descripcionDano=Laptop%20HP%2015.5%22%20de%201TB%2C8RAM&precio=25&cantidad=5&creditoAdeudado=125 HTTP/1.1" 200 1410
0:0:0:0:0:0:0:1 - - [18/Jun/2022:12:59:28 -0500] "GET /ProyectoFinal_LPII/ServletDevolucionBien?tipo=ADICIONAR&nroOC=OC-00001&codigoBien=8&descripcionDano=Agua%20Mineral%20San%20Luis%2Cbotella%20x%205L&precio=25&cantidad=4&creditoAdeudado=100 HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [18/Jun/2022:13:00:04 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 22348
0:0:0:0:0:0:0:1 - - [18/Jun/2022:13:00:04 -0500] "GET /ProyectoFinal_LPII/ServletProveedorJSON HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [18/Jun/2022:13:00:05 -0500] "GET /ProyectoFinal_LPII/Servlet_OC_DetalleOC_JSON HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [18/Jun/2022:13:00:17 -0500] "GET /ProyectoFinal_LPII/ServletDevolucionBien?tipo=ADICIONAR&nroOC=OC-00001&codigoBien=1&descripcionDano=Laptop%20HP%2015.5%22%20de%201TB%2C8RAM&precio=25&cantidad=6&creditoAdeudado=150 HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [18/Jun/2022:13:17:44 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 22348
0:0:0:0:0:0:0:1 - - [18/Jun/2022:13:17:44 -0500] "GET /ProyectoFinal_LPII/ServletProveedorJSON HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [18/Jun/2022:13:17:44 -0500] "GET /ProyectoFinal_LPII/Servlet_OC_DetalleOC_JSON HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [18/Jun/2022:13:17:56 -0500] "GET /ProyectoFinal_LPII/ServletDevolucionBien?tipo=ADICIONAR&nroOC=OC-00001&codigoBien=8&descripcionDano=Agua%20Mineral%20San%20Luis%2Cbotella%20x%205L&precio=25&cantidad=5&creditoAdeudado=125 HTTP/1.1" 200 2019
0:0:0:0:0:0:0:1 - - [18/Jun/2022:13:20:40 -0500] "GET /ProyectoFinal_LPII/ServletUsuario?tipo=CERRAR HTTP/1.1" 200 4669
0:0:0:0:0:0:0:1 - - [18/Jun/2022:13:20:47 -0500] "POST /ProyectoFinal_LPII/ServletUsuario?tipo=INICIAR HTTP/1.1" 200 9506
0:0:0:0:0:0:0:1 - - [18/Jun/2022:13:20:51 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 22348
0:0:0:0:0:0:0:1 - - [18/Jun/2022:13:20:51 -0500] "GET /ProyectoFinal_LPII/Servlet_OC_DetalleOC_JSON HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [18/Jun/2022:13:20:51 -0500] "GET /ProyectoFinal_LPII/ServletProveedorJSON HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [18/Jun/2022:13:21:02 -0500] "GET /ProyectoFinal_LPII/ServletDevolucionBien?tipo=ADICIONAR&nroOC=OC-00001&codigoBien=1&descripcionDano=Laptop%20HP%2015.5%22%20de%201TB%2C8RAM&precio=25&cantidad=2&creditoAdeudado=50 HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [18/Jun/2022:13:52:37 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jun/2022:13:52:37 -0500] "GET /ProyectoFinal_LPII/login.jsp HTTP/1.1" 200 4181
0:0:0:0:0:0:0:1 - - [18/Jun/2022:13:52:42 -0500] "POST /ProyectoFinal_LPII/ServletUsuario?tipo=INICIAR HTTP/1.1" 200 9506
0:0:0:0:0:0:0:1 - - [18/Jun/2022:13:52:51 -0500] "GET /ProyectoFinal_LPII/Mantenimiento_Devolucion_de_Bienes.jsp HTTP/1.1" 200 22546
